Cust_id,target_flag,w1_IS_CALL_ACTIVE,w1_IS_SMS_ACTIVE,w1_IS_INTERNET_ACTIVE,w1_IS_VAS_ACTIVE,w1_IS_PRODUCT_ACTIVE,w1_IS_RECHARGE_ACTIVE,w1_TOTAL_REVENUE,w1_CALL_COUNT,w1_GPRS_VOLUME,w1_LOAN_COUNT,w1_TOTAL_TRAFFIC_REVENUE,w1_CALL_REVENUE,W1_U_SBSCRP_REV_T6,W1_U_VAS_REV_T6,w1U_IB_VC_CC_CNT_T6,W1_RECH_AMT,W1_U_VAS_LNRTRN_CNT_T6
1,0,6,0,4,7,7,5,147.355,23,2401133,0,15.275,10.075,118,14.08,7,150,0
3,0,7,5,6,0,0,0,0,36,344088,0,0,0,0,0,7,0,0
4,0,7,7,7,0,2,2,1050,111,883985,0,0,0,0,0,7,1050,3
5,0,7,7,1,7,7,3,154.2,40,808,3,110.2,108.2,8,66,7,150,5
6,0,6,3,1,3,1,1,350,69,399,0,0,0,0,0,7,350,0
7,0,4,6,0,5,3,1,18.87,6,0,0,6.75,5.55,12.12,0,3,100,0
8,0,7,1,7,0,6,0,16.225,101,1758687,0,16.225,12.625,0,0,7,0,0
9,0,7,0,6,3,0,0,0,34,17340,0,0,0,0,0,6,0,3
10,0,7,0,2,1,2,1,128.57,26,451238,0,96.45,96.25,32.12,0,7,100,0
11,0,4,0,7,4,3,0,180.175,7,4039093,1,17.675,16.275,159,0,4,0,3
12,0,6,0,0,0,0,0,32.425,13,0,0,32.425,32.425,0,0,5,0,0
13,0,1,0,7,7,7,1,100.06,1,792429,1,11.06,4.925,75,29,2,100,4
14,0,7,0,6,0,1,2,400.2789,71,1030857,0,50.2789,49.75,0,0,7,400,0
15,0,1,4,7,6,7,2,137.1261,2,6727303,2,59.1261,5.05,71,37,1,150,3
17,0,7,7,7,3,4,3,339.6,205,821625,0,4.6,4,0,0,7,885,0
18,0,1,1,7,4,3,1,173.4875,1,5951525,1,11.4875,2.325,158.5,0,7,150,2
19,0,7,2,7,1,1,1,362.4516,40,3570322,1,123.9516,5,235,18.5,7,300,1
20,0,1,7,7,0,4,3,181.875,3,12626889,1,33.375,0.375,75,18.5,6,180,1
21,0,0,0,7,0,0,0,0.0023,0,2844219,0,0.0023,0,0,0,6,0,3
22,0,7,6,7,7,7,4,657.1167,69,6188096,3,286.1167,156.725,350,84.5,7,700,5
23,0,6,7,1,5,5,2,126.775,71,4,2,53.775,52.375,60,43,7,100,5
24,0,7,0,7,7,7,2,276.2826,61,1468036,0,30.5426,10.625,235.24,10.5,6,300,0
25,0,7,1,5,7,0,0,12.35,36,389019,0,12.35,0,0,0,7,0,0
26,0,1,0,6,1,2,1,67.025,1,1617582,1,3.525,2.325,60,18.5,6,200,2
27,0,7,4,0,7,7,6,294.17,121,0,6,106.4,94.2,153,120,7,195,8
28,0,2,7,0,7,6,2,95.625,5,0,1,3.125,0.625,80,27.5,7,90,3
29,0,7,6,7,4,4,2,234.6,191,2549544,0,23.1,22.1,18,4.5,7,239,0
30,0,5,0,7,1,1,1,189.5308,15,6724069,0,19.5308,16,170,0,5,200,0
31,0,7,6,4,5,4,0,9.0501,85,670021,0,3.0501,0,0,6,7,0,3
32,0,7,5,0,2,1,0,0,58,0,0,0,0,0,0,7,0,3
34,0,4,0,7,0,3,1,118,11,1908118,0,0,0,0,0,2,118,3
35,0,6,6,7,6,6,3,104.35,102,3872770,2,21.35,15.75,67,64.5,7,140,5
37,0,7,6,7,1,0,1,9.6,160,127005,0,9.6,9.6,0,18.5,7,100,4
38,0,7,2,2,6,6,2,199.881,107,112796,2,88.941,35.25,83,57.94,7,200,3
39,0,7,7,1,2,6,1,40,108,4,0,0,0,0,0,7,40,0
40,0,0,0,7,3,2,2,339.892,0,2094026,0,193.912,0,0,5.98,1,340,0
41,0,5,1,7,7,7,2,224.7614,12,2161405,0,12.1814,0,200,12.58,2,280,0
43,0,6,6,7,5,7,2,11.345,21,1760205,0,3.825,3.825,0,7.5,7,0.02,0
44,0,0,7,7,3,5,3,114.35,0,3712886,2,10.4,0,85,67.45,7,150,6
45,0,1,0,5,2,3,1,149.0614,1,1778759,0,3.0614,0.125,146,0,5,200,0
46,0,7,0,0,3,0,0,29.825,60,0,0,29.825,29.825,0,0,7,0,0
47,0,2,0,5,4,0,0,13.3821,4,2172153,1,9.8821,0.5,0,0,5,0,0
48,0,7,7,0,6,1,1,113.62,83,0,0,13.85,10.25,95,0,4,200,0
49,0,6,4,7,6,7,2,183.3,36,2526154,0,14.3,4.3,0,27.5,5,220,1
50,0,0,0,5,1,2,0,47.1268,0,809888,1,11.6268,0,32,0,3,0,3
51,0,6,2,0,7,6,3,111.275,23,0,4,74.275,66.675,14,64.5,7,90,6
52,0,6,6,7,5,5,1,380.5,84,10711201,1,149.5,142.5,220,7.5,7,200,3
53,0,4,0,7,3,2,2,199.3498,9,6165782,1,43.8498,27.525,152,18.5,6,200,3
54,0,1,0,7,1,1,2,99.8414,1,173903,1,81.8414,0.125,13,20,7,100,4
55,0,5,2,0,0,1,1,350,24,0,0,0,0,0,0,6,350,3
58,0,5,2,7,2,1,0,173.4225,39,9059673,1,29.9225,24.55,140,0,7,0,3
59,0,7,0,0,7,7,1,160.875,51,0,2,35.375,34.975,108,29,6,150,1
60,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61,0,2,0,7,4,3,2,302.95,2,2480535,0,2.95,1.75,300,18.5,0,350,1
62,0,7,0,5,7,7,3,142.0325,104,3685872,1,72.7125,69.3,55.32,29,7,310,1
63,0,7,7,7,1,2,2,625.1141,99,987637,0,0.1141,0,0,0,7,625,3
64,0,2,1,7,1,1,1,155.4258,4,4455393,0,15.4258,9.3,140,0,3,200,0
65,0,7,3,0,5,3,3,418.025,69,0,4,312.025,290.225,67,74,5,350,6
66,0,1,0,7,0,1,2,167.5,2,1670779,0,68.5,3.25,0,0,1,199,0
67,0,7,7,7,4,3,2,377.325,61,819408,1,84.825,82.425,289,18.5,7,300,1
68,0,3,0,4,2,0,1,29.775,7,362,0,29.775,20.375,0,0,4,100,0
69,0,7,7,7,0,2,1,278.3047,28,872803,1,123.8047,80,1,18.5,7,240,1
70,0,7,7,6,4,5,1,96.1,114,1288907,1,19.6,14.125,73,18.5,7,100,3
71,0,7,1,7,2,7,2,316.4275,32,4054391,2,25.1475,6.25,284.28,18.5,6,280,4
72,0,5,0,3,1,3,3,250.9019,28,848987,0,84.4019,67.3,67.5,0,5,349,0
73,0,2,0,7,7,7,1,210.6917,2,4505561,0,40.1917,2.525,178.5,10.5,3,300,0
74,0,5,4,6,0,0,0,0,89,571884,0,0,0,0,0,7,0,3
75,0,6,0,5,1,0,0,0,19,817560,0,0,0,0,0,7,0,3
76,0,7,1,6,0,0,0,0,74,198295,0,0,0,0,0,7,0,3
77,0,0,0,4,0,0,0,0.12,0,1274264,0,0.12,0,0,0,1,0,3
78,0,0,2,7,4,6,3,360,0,2994317,1,175.53,0,53.5,5.97,6,360,1
79,0,7,0,7,7,7,1,99.12,82,26938,0,13.5,10.25,75.12,10.5,5,100,0
80,0,7,3,0,0,0,0,0,69,0,0,0,0,0,0,7,0,3
81,0,6,0,7,7,7,4,308.2682,61,1882321,3,56.2682,25.225,91,66,6,310,5
82,0,7,2,7,7,4,1,213.304,20,9721346,2,6.304,0,200,18.5,6,200,1
84,0,7,3,0,0,1,1,150,118,0,0,0,0,0,0,6,150,3
85,0,5,1,1,7,7,2,134.725,8,1076707,0,103.225,17.675,21,10.5,2,150,0
86,0,0,0,0,3,2,2,3.2,0,0,0,0.2,0,0,3,2,950,0
87,0,7,1,7,0,6,1,17.9875,37,771156,0,17.9875,17.675,0,0,4,30,0
88,0,7,3,0,2,6,0,0,53,0,0,0,0,0,0,7,0,3
89,0,6,0,0,6,6,3,123.5,168,0,4,33,32,69,81.5,7,120,5
90,0,7,5,0,6,5,0,7.5,117,0,0,0,0,0,7.5,7,0,3
91,0,4,0,7,7,7,1,54.9733,8,230162,1,40.9733,11.5,0,29,7,30,3
92,0,0,7,7,1,1,1,75.825,0,978520,0,0.825,0,75,18.5,3,100,1
